id,account_type,gender,age,region_code,cc_cons_apr,dc_cons_apr,cc_cons_may,dc_cons_may,cc_cons_jun,dc_cons_jun,cc_count_apr,cc_count_may,cc_count_jun,dc_count_apr,dc_count_may,dc_count_jun,card_lim,personal_loan_active,vehicle_loan_active,personal_loan_closed,vehicle_loan_closed,investment_1,investment_2,investment_3,investment_4,debit_amount_apr,credit_amount_apr,debit_count_apr,credit_count_apr,max_credit_amount_apr,debit_amount_may,credit_amount_may,credit_count_may,debit_count_may,max_credit_amount_may,debit_amount_jun,credit_amount_jun,credit_count_jun,debit_count_jun,max_credit_amount_jun,loan_enq,emi_active,cc_cons
29916,saving,F,38,534,23544,3016,8451,1504,2851,2969,2,1,5,1,1,1,110000,1,,1,,,10000,,,451836.64,463875,30,17,140000,244619.9,257383,7,41,50000,275666.9,279066,11,29,150000,,8720.71,11835
22771,current,M,41,373,2165.93,1902,2795.84,8853.96,612,1363,10,14,14,3,9,13,30000,,,,,,,,,58554,52019,30,2,48339,35857.33,44360.37,4,24,37062,50534,49250.25,5,24,38649,,0,447
37561,current,M,36,370,6147,,21528.84,,2291.63,,5,23,17,,,,50000,,,,,,,,,61196.87,44507.94,21,5,20822,36158.78,63077.16,6,14,20772,47462.85,37834.6,4,11,20822,,0,290
5378,saving,M,31,683,4811.52,4967.44,892,7052.27,3773,1548.54,7,3,20,18,28,20,40000,,,,,,,800,,33332.44,91040.27,26,4,59810,61744.82,7292.35,5,42,5000,27609.69,25033.6,4,27,24500,,6660.24,3023
438,saving,M,36,977,4762,,5259,1119,1847.52,8697,6,8,13,,3,13,191000,,,,,,,12500,,26036.79,37194,6,3,20000,46469.33,33297,3,15,25000,95111.28,101280,11,34,46162,,0,7090
41962,current,M,33,518,2946.07,,2833.79,,346.98,,6,4,4,,,,22000,,,,,,,,,,,,,,163.81,275.81,1,1,0.81,13.35,139.35,1,1,0.35,,0,1318
28999,current,M,44,575,41645.07,,16269.83,,2078,,16,8,18,,,,160000,,,,,,,,,41310.23,46655,15,4,27830,40131.81,9976,2,11,6332,172647.59,258152,7,27,160000,,1044.89,1431
39310,current,M,28,523,2047.5,,1057,,470,,,1,2,,,,36000,,,,,,,,,16453.41,24629.86,13,3,12955,39850.17,151809.73,4,18,146915,36494.97,1070,2,15,740,,131.63,2089
7023,saving,M,45,627,8052,,10656.5,,9440.25,,4,9,7,,,,30000,1,,,,,,,,2228.92,2385.11,5,2,1100,2285.8,7372.8,3,2,5000,12754.15,9016.46,4,1,7600,,8422.21,3856
27920,current,M,47,615,10575.25,,11036.1,,11051.175,,14,13,12,,,,150000,,,,,1494149.873,,,,44474.87,45419,11,6,15000,111132.48,116140,7,9,60500,71034.09,62355.27,11,13,16605.27,,0,1575
28510,current,M,50,923,22978.5,,15612,,28735,,,8,14,,,,75000,,,,,32179.2,,,,194.25,4093,1,1,4000,,40253,1,0,40000,43677.5,19016,3,2,18500,,0,2021
942,current,M,27,523,22988,1963.2,4020,383,4114.52,549,8,5,4,9,2,11,40000,,,,,,,,,68608.59,46653.5,30,7,25466,12292.33,36889.75,4,11,33948,51930.67,30216.88,6,23,26074,,0,1779
43339,current,M,31,874,14894.6,385,10855.39,435,13075.995,,11,10,16,1,3,3,75000,,,,,,,,,58435.09,67699,14,6,22200,110620.76,67343,6,15,19480,43874.64,67041,7,21,18830,,0,38333
23701,current,M,34,523,38159.85,,22114.5,,356,,10,13,2,,,,150000,,,,,,,,,85575,92728.3,11,8,67116,182848.59,128544,10,15,69557,150019.26,135157.37,9,26,69597,,8134.43,77449
13003,current,M,35,723,11121.42,,7659,,9654.21,,4,3,,,,,148000,1,,,,,,,,,,,,,,,,,,,,,,,,25434.24,4599
39962,current,M,36,534,37025.45,,35260.21,,413,,12,18,17,,,,105000,,,,1,,,,,62175.13,160243,9,4,105000,92381.25,,0,6,,28018.86,57252,3,9,33750,,5867.17,646
7790,current,F,35,683,1689,4901,6449,238,571,641.31,1,1,2,2,1,2,40000,,,,,,,,,57183.07,60571,20,5,35467,28886.88,57629,4,18,35467,78071.88,55803,3,25,35467,,0,1783
4964,saving,M,32,877,17055,,17793,,40297,,3,6,3,,,,48000,,,,,,,,,70628.38,60394,9,5,40000,57437.83,66574.15,7,6,25000,91149.63,88873.65,8,6,41000,,0,65139
21711,saving,M,31,748,11140.85,,17191.7,1711,3067,3303,,3,10,,1,3,50000,,1,,,,,1005,14509,29709,,6,0,,11573,32074,3,2,17500,55313.82,36331.75,5,10,21500,,3273.17,11549
33071,saving,M,42,909,42799.26,,26378.29,,3567,,20,17,16,,,,100000,,,,,,,,,88663.72,,6,0,,22781,40264,1,5,40000,11495.26,804,1,6,761,,0,3649
43736,current,M,35,534,2877.31,1385.06,4380.07,1134.18,5467,652,1,10,37,4,23,7,75000,,,,,,,,,74079.56,57794,25,4,45505,49237.43,53494.5,5,31,45506,98986.25,73711,13,18,47306,,0,1153
7759,saving,M,41,519,783.34,705.2,1536.74,,524.85,,1,4,1,1,,,75000,,,,,,,,,5816.57,39702,9,4,28680,26271.3,,0,7,,3841,6215,3,4,4000,,0,1137
30849,current,M,34,233,12541.31,484.02,8956.05,4444.25,560,662,25,14,27,4,6,8,195000,,,,,,,,,37201.97,38397,15,4,33109,35465.87,36270.86,4,15,30057,45043.21,43484,8,30,29395,,0,1700
10956,current,M,24,233,946,,254.5,,1193.75,,2,1,,,,,26000,,,,,,,,,8805.5,8742,6,4,5000,30487.75,31827,12,11,10000,71014.66,70026,11,11,20000,,2523.18,3099
6499,saving,M,69,597,5202.59,,1298,378,3793.295,,8,2,5,,1,,475000,,,,1,,7268.25,,,17595.55,17146,6,3,10000,11114,27504,4,6,10500,16578.12,5340.66,3,4,5000,,0,19798
12484,saving,F,32,233,15461.21,40236.75,33163,34018.5,9333,26180,3,1,5,29,44,42,90000,,,,,,16203,,,75047.85,59081.52,51,2,59000,86753.13,103799,3,54,67000,55207.72,67653,2,49,67000,,3738.09,5839
5292,saving,F,32,563,4799,450,7393,432,3354,255,6,7,11,2,2,1,100000,,,,,10006.2,87000,,,23733.58,49844,16,7,21755,58724.6,21926,3,17,21755,12430.76,22892,3,9,21755,,0,58212
9237,current,M,29,723,2701,1461,1472,816,2959,2192.5,,1,2,3,5,11,113000,,,,,,,,,86280.84,42547,22,1,42421,24289,141817,2,12,100000,48730.52,47399,3,30,42646,,1801.62,7907
29747,current,M,27,683,2665.39,1746.55,1382.89,252,2160.64,,3,2,2,2,1,3,48000,,,,,,,,,120260.57,115324,21,7,33000,29392.65,33089,2,18,32480,22432.26,32854.4,4,18,28631,,0,2149
31701,current,M,34,245,4254.12,573,5723.67,,5341.395,,8,10,14,1,,2,60000,,,,,,,,,38944.91,30200,14,3,28000,99066.01,73094.36,8,18,28000,120302.01,125022,8,22,42500,,0,12500
16673,saving,M,41,805,2084.72,,978.73,2602.88,2102.225,1347,3,1,3,,3,2,100000,1,,1,1,,,,,54020.25,30200,9,2,25000,55896.88,61574,5,14,22000,84359.99,163653,4,11,147418,,6125.91,1226
6032,saving,M,39,349,11439.01,,33417.35,,50029,,18,13,13,,,,75000,,,,,,,12302,,31208,24484,11,1,24355,22130.07,27830.36,3,4,24355,30182,24591,2,5,24355,,0,5931
32930,current,M,36,563,2724,,4171.92,,604,,4,9,11,,,,33000,,,,,,,,,,,,,,,,,,,,,,,,,0,640
39366,current,F,29,683,18572,10176,5479,8112,14903.57,2600,7,4,12,26,10,35,100000,,,,,,95000,,,164032.55,57892,45,1,57638,49539.99,74447,4,31,61920,113716.63,60385.15,4,66,57951,,0,14769
5775,current,M,32,683,17267.23,,2733.61,,2181.75,,21,10,21,,,,210000,,,,,,,,,28762.18,44087,9,3,29000,204403.06,202215,3,12,180000,33017.46,13965,5,8,11000,,2778.92,780
45156,current,M,29,683,5339.62,762,3155.31,407,5554.93,,,9,37,2,1,,25000,,,,,,,,,21653.75,21517.5,21,3,20450,24576.25,24647,1,11,24450,22709.98,23684,3,13,23450,,0,1989
18002,saving,M,45,836,721,1211,463,,997,,5,4,14,2,,,195000,,,,,,156215.3,40000,,7197,,8,0,,7992,22730,3,6,10000,60839,82861,6,13,50000,,0,13932
35884,current,M,36,523,3698.84,3184,2283.68,1765,3630,534,,3,8,4,3,2,58000,,,,,,,,,36151.64,28048,46,3,22989,49820.45,127266,10,42,40500,107018.63,30699.94,7,24,18787,,37622.28,372
4752,current,M,42,823,17253.51,,10337.255,,2395,,3,,2,,,,172000,,,1,,,,,,110851.26,30829,13,1,30547,44322.75,47666,4,12,40625,47472.95,40802.25,8,11,31797,,452.41,10223
32616,current,M,40,803,303505.75,,14899.53,,159092.64,,9,19,8,,,,507000,,,,,,,,,113383.33,126801,29,12,47681,372840.88,374544,11,28,160000,85739.41,82518,15,20,40938,,0,989
39077,current,M,32,683,13864.37,353,11015.69,,13136.53,906,55,47,8,1,,1,35000,,,,,,,,,32019,38134,9,3,19079,9231.75,20649,3,4,15504,23183,8789.59,5,5,5750,,0,1430
20469,saving,M,30,697,10749.195,,5444.08,,15621.31,,,3,16,,,,150000,,,,,,,,,89.25,,1,0,,,,,,,8114.95,306,1,1,279,,9075.47,8697
6513,current,M,40,255,5660.73,,1950,,17726,,5,2,8,,,,283000,,,,1,,,,,18773.58,10243,4,1,10000,2085,78176,2,1,68050,28155.09,10555,2,3,10000,,4134.13,3600
33957,current,M,33,904,1933.64,7780.85,2563.49,16589.3,200,1317,1,7,6,6,23,28,300000,,,,,,65174,,,77081.07,61704.38,20,4,41995,97153.3,99394.9,4,34,56359,71019.48,48464.44,5,41,41966,,0,946
42318,current,M,30,534,4097.26,17124.89,4833.61,,4429.435,400,3,7,,7,,1,92000,,,,,,,,,65578.51,57911.37,28,3,45763,47410,48588.74,5,10,43968,44558.5,54596,3,24,53724,,1845.56,400
1242,current,M,51,623,5718.68,,2782.7,,5813,327,6,2,22,,,5,40000,,,,,,,,,11115.65,14501,7,1,14297,7159.31,,0,5,,17264.08,29806,3,7,15297,,0,1667
6982,current,M,36,526,19045,,40381,,2418,1054.52,1,1,3,,,2,68000,,,,1,,,,,29338.88,39288,9,3,22093,73308.64,78937,3,13,40000,14387.4,23352,2,10,22916,,239.48,1141
41830,current,M,27,246,5103.25,,3816.07,10103,5736,,8,7,12,,3,3,40000,,,,,,,,,137399.88,43936,12,1,43797,41209.79,35280.36,2,11,35000,52651.95,60981.79,7,12,25808,,0,340
4665,current,M,43,233,3547,,118047,,60821,,8,12,18,,,,295000,,,,,,,,,24439.5,22432,8,2,12230,26642.82,97721,5,8,70000,54411.36,68277,7,9,20000,,2448.32,12471
43762,saving,M,40,425,3883,,3373,,3255,,,1,3,,,,90000,,,,,,,,,18141.85,18530,5,2,10000,48158.6,107849,3,8,88000,72482.26,5019,2,10,4000,,0,5007
45835,current,M,29,723,792,5546.3,10878,,849,462,2,6,5,3,,4,39000,,,,,,,,,98928.15,99100,34,6,28000,22373.85,24141,1,9,23860,59638.34,57840,5,13,27210,,2041.8,816
9660,current,M,36,257,59674.76,,29553.55,,29027.8,,10,19,24,,,,195000,,,,1,,,,,131678.93,91586,13,1,91464,112351.85,154990,2,5,91225,315045.21,224127,6,10,60799,,601.34,38215
8485,saving,M,38,683,106487.77,787,101957.76,8837.4,980,13721,8,22,10,1,9,2,240000,1,,1,1,,,,,832553.76,910544.77,43,12,300000,580434.26,623920.99,14,42,200000,313481.72,281643.76,11,17,100000,,20678.15,156035
7542,current,M,34,534,1006,9095.19,9587.5,455,17411,,1,,3,3,1,,300000,,,,,,736532,,,219536.71,224013,32,12,52536,296937.04,342224.2,11,33,152500,160165.94,108324.39,14,34,49003,,59459.35,2466
12168,current,F,38,805,3106.14,,12153.7,,7922.92,,3,4,9,,,,72000,,,,1,,,15000,,,,,,,,,,,,,,,,,,0,25000
19577,saving,M,43,554,2582.7,,9626.4,405,3498,,2,8,20,,1,4,125000,,,1,,,,,,39493.01,32488.77,9,2,32343,60465.13,68324.17,5,15,36546.67,46897.51,52830.5,7,17,31790,,2401.45,4072
22501,current,M,27,623,4621.97,,1449.42,345,5351.52,354,,6,7,,1,1,20000,,,,,,,,,15728,10040,7,2,9325,3166,17100,3,6,9473,76842.42,64354,16,26,30000,,0,2652
17093,current,M,30,534,1264,3148,969,3417,1718.5,,3,3,3,1,2,2,180000,,,,,,,,,79964.5,66957,8,1,66718,62761.5,69393,2,12,66628,86710.07,68962,3,7,66706,,0,796
29968,current,M,35,623,2527,,3204.92,,4107,,5,12,31,,,1,66000,,,,,,,,,25125.92,32168,37,6,16080,19388.38,25689,8,28,19406,42837.59,76673,10,29,59757,,0,7618
41005,current,M,34,523,5884.8,6017,3712.74,7201.4,6249.42,,2,3,4,4,5,3,40000,,,,,139323.25,,,,69016.85,56046.92,26,12,19800,97477.01,114547.72,9,23,40000,50697.33,58669.5,7,17,34800,,0,6869
14498,current,M,53,233,84126.16,,19463,10726.75,33316.37,4520,5,4,22,,8,2,250000,,,,1,,1038364.76,,,251445.08,258441,16,6,104470,309992.89,260429.5,16,33,89470,204871.23,205667,11,19,89470,,17275.33,6095
8516,current,M,34,683,34689,762,9562.71,1609.2,3072,,10,18,24,1,3,4,113000,,,,,,,,,60489.02,55129,6,2,45000,58997.34,72827.22,6,11,50000,50883.29,45334,2,22,45000,,566.29,3664
46204,saving,M,33,233,11345,,30581.87,,2941,,17,6,8,,,,125000,,,,,,,,,6603,7097,3,2,5000,11043,16154,3,3,10000,13308,10385,3,5,5000,,3451.51,528
33002,saving,M,36,425,6606.89,1330,521,,11288.78,1453,,1,10,1,,4,90000,,,,,,,,,4717,30239,5,2,25000,2926,48202,2,3,35000,38885.41,29656,3,13,20000,,3945.88,14350
17795,saving,M,49,233,4070,,5860,,1018,,,5,6,,,,300000,,,1,,,,,,58.25,,1,0,,,,,,,5594,5811,2,1,5400,,8042.6,9948
41515,current,M,36,683,8216,,9023,,1086,,7,8,7,,,,118000,,,,,,,,,,,,,,,,,,,,,,,,,471.38,2180
15965,saving,M,49,823,74136.73,,21211.03,,1404,,18,10,19,,,,140000,1,,,,,,,,16528.75,20151,5,2,10000,30954.22,25155,2,5,15000,21542.63,35419,3,4,20000,,11861.1,3269
38027,current,M,26,266,5626.86,19292,18671,11170.92,4157.32,2133,6,9,3,48,50,39,30000,,,,,,,,,52205.74,44496,57,1,44421,69300.66,125900,7,60,89271,85283.31,65157.5,7,55,44422,,0,2686
45722,current,F,41,523,3286.5,,904.5,2174,1497,,1,2,5,,1,1,40000,,,,,,,,,17244.84,27094,7,2,15634,11759,,0,5,,9639.5,11344,2,3,11213,,0,981
15071,current,F,38,534,44061.74,,29000.68,3507,9663.3,1415,16,13,14,,2,3,188000,,,,,,,,,69146.28,68240,9,3,33491,53638.56,68368,6,10,25000,66512.45,67648,4,11,36000,,0,6689
20982,saving,M,37,523,26478.44,,15412.12,540,640.03,307,10,13,20,,1,5,100000,,,,,,,,,20411.68,21095.4,15,2,21064,18328.96,21226.37,2,12,21064,39703.52,36375.7,8,21,21064,,0,2040
5860,current,M,65,544,10260.95,,3304,,625,,9,6,18,,,,190000,,,1,,,,,,12393.1,10565,8,2,9325,13329.19,19780,3,11,9325,16353.75,10196,3,10,6000,,5109.98,510
11202,current,M,29,523,11381,5489.44,5473,1598.47,8167,,3,5,13,5,3,3,150000,,,,,,50000,,,79663.35,34366.35,17,3,34162,35342.97,34339.5,2,12,34163,43460.48,34744,2,15,34162,,0,7811
36404,current,F,30,534,10054.45,623,385,9520.79,5670.225,2339.77,8,2,1,5,22,12,81000,,,,,,,,,22305,53915.89,18,3,27523,22358.57,21116,3,30,10949,108530.43,104084,4,25,74094,,0,3457
36703,current,M,25,283,47432,7175.93,63307.37,1874.68,11279.03,,6,25,17,4,5,1,100000,,,,,,,,,36237.43,45439,18,4,43266,31822.43,59686,8,12,53744,24269.01,55181,9,4,41766,,0,29845
27738,saving,M,43,435,5159.08,,10114.51,,781,,4,10,2,,,,69000,,,,,,,,,,,,,,,,,,,,140,1,0,1,,5517.45,2663
1481,current,M,35,526,4221.84,3244,7183.88,,1471,,4,13,11,6,,1,61000,,,,,,,,5730,112930.52,106668,52,8,48172,73443.75,79755.38,7,15,31000,244077.31,260859.75,10,29,150000,Y,0,3798
5196,current,M,37,703,9438.67,1132,7032.335,7326.88,3219,2203,9,,7,3,8,6,125000,,,,,,,,,69489.73,85701.42,23,8,37011,86553.73,86744,5,33,33733,124616.28,133967,3,35,100000,,0,2616
17871,current,M,34,626,12173.76,,14242.28,,4814.52,,23,47,34,,,,22000,,,,,,,,,,,,,,,,,,,,,,,,,0,773
42561,current,M,25,683,1645.23,1899.45,15816.59,1478,365,,3,4,5,4,3,3,60000,,,,,202250,,,,26168.97,37906,10,3,24595,16296.22,26614.15,3,13,24595,175063.42,153250.88,8,13,100000,,0,3698
7166,current,M,27,245,83257.61,5895,45199.21,227,36083,,29,43,32,3,1,1,288000,,,,,396036.49,194663.3,,,102697.96,152273,20,4,124913,185490.55,88675.8,9,10,81084,116232.25,130507.57,7,19,87033,,0,17466
41085,current,M,41,581,4872.54,,629.5,600,2877.52,,8,1,4,,1,,37000,,,,,,,,,9396.98,14895.43,5,3,10265,14953.52,16635.59,3,4,10432,6769.87,10948,2,1,10507,,10986.56,3280
4292,current,M,32,683,19034.52,23561.21,4348.26,5269.77,1009.8,4581.65,6,8,6,16,11,26,231000,,,,,,,,,47341.15,102576,26,5,93719,110859.38,104490,11,27,79031,228120.61,204434,13,44,69463,,0,4865
4772,current,M,31,683,1000,,1808.5,,1039,,2,5,17,,,,26000,,,,,,,,,35411.93,22593,8,1,22490,2140.22,2218,1,4,2000,2122.02,2201,2,3,2000,,0,7310
34225,current,M,43,518,22566.86,,7267.92,,3574,,16,8,15,,,,105000,,,,,,,,,5436.66,,2,0,,21151.83,69271,1,2,69000,12214.82,12825,3,3,11933,,2301.92,26271
21693,current,M,40,683,2819.04,7549.21,19232.16,3815.24,1014,2328,17,6,9,14,11,18,143000,,,,,,,,,65490.78,62804,66,4,49688,33916.95,60329.77,4,60,49687,77119.57,53098,5,53,49682,,0,3199
19375,current,M,47,523,2164.19,,2612.42,4952.57,3351.305,,4,4,5,,1,,260000,,,,,91768.3,,,,107824.72,81516.82,15,3,57000,62787.08,72954.73,2,17,56000,140666.05,367407.18,13,32,250000,,4115.66,692
42626,current,M,28,683,6518.65,,3063.75,,3286,8688,13,6,14,,,2,62000,,,,,,,,,30722.15,23110,10,2,21000,42011.36,29452,4,8,19350,43107.11,42298,9,8,14000,,0,2626
17666,current,M,33,623,51058,,470,483,1556,,6,1,10,,1,1,107000,1,1,,,,,,,53133,80127,7,3,30000,27050,,0,10,,60341.09,60587,3,10,30348,,6146.75,5709
20044,current,M,37,683,7551.465,,8370.93,5794,5457,803,,9,17,,4,3,85000,,,,,,,,,,70131,0,1,69961,35665.62,59148,1,10,58926,36669.56,96885,4,16,62913,,0,7561
8125,current,M,43,723,17562.21,,59446.28,229,13663.5,,16,51,38,,1,,150000,1,,1,1,,,,,53149.25,53079,6,3,25000,91448.12,186698,7,20,100000,94344.41,80595,4,12,40000,,429.65,9360
11283,current,F,41,233,4503,3692,3542,699,1445,1166.32,4,3,5,4,2,12,106000,,,,,,,,,32113,43393,19,2,21660,12664,23784,2,8,21660,25792.52,203,2,19,118,,248.28,2623
24290,saving,M,39,233,69508.09,,90526.67,4151.6,36112.44,,49,41,65,,4,1,75000,,,,,,,,,37413.21,37694,7,2,34700,34760.6,34820,1,6,34700,34363,34975,2,4,34700,,0,16045
26511,saving,M,34,628,68414.08,,28708,,34547,,10,6,8,,,,100000,1,,,,,,15000,,57503.59,69254,8,5,40000,87095.75,76514,2,9,51300,97643.11,89228,5,11,64000,,4837.42,60602
42160,current,M,32,683,20046,,11219.15,455,2358,2270,5,4,18,,1,13,40000,1,,,,,,,,25924.38,25781,13,3,21764,32648.75,33275,5,20,24184,113524.16,133354.25,9,33,78520,,1557.69,937
46097,current,M,45,683,35886.465,,34843.9,,34909.03,,,1,1,,,,300000,,1,,,,,,,73551.75,75738,5,2,65498,45939,107434,3,4,89306,72691.75,8316,2,5,8000,,66334.66,64333
24034,current,M,35,683,12455.5,3506,3874,5797,18845,2181,,2,4,4,4,9,141000,,,,,,,,,17643.25,21435.75,11,1,21279.75,20952.12,50681,1,12,50652,16897.52,30498,2,19,30000,,0,3846
34335,saving,M,34,537,2507.37,,2086.78,,2206.575,,3,4,2,,,,31000,,,,,,,,,1049.25,1088,4,1,900,330,234,1,2,200,569,610,4,4,200,,2876.17,900
13762,current,M,29,503,3712.69,,4709.78,,2627,835,7,12,10,,,3,48000,,,,,,,,,14992.29,28423,10,2,16222,12456.73,5217,1,7,5206,12139.59,18080,3,10,17354,,0,6390
31892,current,M,45,255,997,,9087.82,,5533.41,,1,9,3,,,3,140000,,,,,,,,,59430.59,54407.41,15,5,24651,34917.67,34034,3,14,24651,66790.93,175020.08,11,27,140000,,0,2096
3004,current,M,30,424,1658.02,,6131.6,634.01,11784,,3,4,5,,2,,36000,,,,,,,,,30194.03,45834,16,4,14476,13477.58,11145,4,13,4830,21558.83,30444,4,14,14476,,0,4354
15724,current,M,30,809,13764.8,1619,28855.01,,5483.52,558,31,27,39,1,,6,71000,,,,,,,,,78693.79,70099.07,24,9,52908,48639.64,57153,3,13,52907,62491.92,61942.36,12,34,52907,,5072.08,7979
10519,current,M,40,957,15572.06,,3918.62,,3422.2,,7,6,13,,,,110000,,,,,,110000,,,12100.57,22883,4,2,15672,34480.61,34825,2,3,19036,1878.51,54877,6,1,19959,,2194,300
21021,saving,M,47,372,14922,,66498.16,,41211.58,,9,14,10,,,,197000,,,,,,,,,45929.99,36272.82,5,5,20000,18931.46,22877.35,3,3,20000,94140.16,89666.56,7,6,50000,,2115.9,6401
24265,saving,F,39,700,16488.88,9604,5569.68,,3971,,31,9,18,4,,,58000,,,,,,,,,75340.62,75199,30,9,61500,130353.93,130695,7,11,50000,78561.59,78648,8,23,33500,,3592.45,9895
43958,current,M,50,743,110695.31,,25543.63,,7614,,12,19,21,,,,471000,,,,,,,50000,,19118.85,19294,5,1,19000,9789.57,110282,2,3,100000,105961.94,6170,2,1,6000,,0,550
6618,current,F,35,233,5455,534.29,30810.51,538,4188.9,1074,5,7,16,3,2,2,126000,,,,,,200000,,4063,47773.05,103070,22,7,28500,59815.5,9600,2,18,6500,37498,63265,6,13,26600,,2172.5,200
14491,current,M,31,755,22706.85,,46417.5,,35010.175,,26,18,19,,,,201000,,,,,227.6,,,,50232.25,50138,3,2,40000,38508.33,38753,3,4,22000,25283.83,25316,2,3,25000,,17424.16,4721
29203,current,M,36,723,4333.5,,15317.5,,7095,,3,10,8,,,2,75000,,,,,,,,,21749.78,17477,16,2,15931,37658.28,39495,2,6,24000,141305.28,140772,8,22,45000,,28.08,16218
8665,current,F,26,523,1745,,6651.78,,11881,,2,8,21,,,,100000,,,,,,,,,55639,165188,4,4,82073,68196,54588,2,5,53223,71034.68,64257.3,7,7,53223,,0,8594
43332,saving,M,35,632,41495.75,,15546.63,,29003.19,,14,8,16,,,,54000,1,,1,,,,,,,,,,,,,,,,,,,,,,7879.04,6719
25555,saving,M,37,526,34515.07,,16246.9,,55122.86,,23,21,43,,,,93000,,,,,,,,,77138.88,65293,11,4,40484,144019,137986,5,14,67704,338899,470476,16,19,164318,,15697.89,25674
44082,current,M,29,523,2250.58,1168,7405,294,1298.31,3912.57,3,1,6,6,1,15,42000,,,,,,,,,15137.65,15358,22,3,7400,18647.18,18736.28,6,21,10200,14140.7,13881,6,29,6086,,4352.41,5298
12670,current,M,32,538,7452.23,599,5075.56,1742.99,777,712,5,4,3,2,12,13,50000,,,,,,,,,47592.31,56191,30,6,28103,42387.16,37467,8,26,16481,29201.83,32963,7,24,16878,,3197.91,570
